indicator_id,indicator_name,wb_code,year,value,source_url
maternal_mortality_rate,Maternal Mortality Ratio,SH.STA.MMRT,2013,,https://api.worldbank.org/v2/country/KE/indicator/SH.STA.MMRT
maternal_mortality_rate,Maternal Mortality Ratio,SH.STA.MMRT,2014,,https://api.worldbank.org/v2/country/KE/indicator/SH.STA.MMRT
maternal_mortality_rate,Maternal Mortality Ratio,SH.STA.MMRT,2015,,https://api.worldbank.org/v2/country/KE/indicator/SH.STA.MMRT
maternal_mortality_rate,Maternal Mortality Ratio,SH.STA.MMRT,2016,,https://api.worldbank.org/v2/country/KE/indicator/SH.STA.MMRT
maternal_mortality_rate,Maternal Mortality Ratio,SH.STA.MMRT,2017,,https://api.worldbank.org/v2/country/KE/indicator/SH.STA.MMRT
maternal_mortality_rate,Maternal Mortality Ratio,SH.STA.MMRT,2018,,https://api.worldbank.org/v2/country/KE/indicator/SH.STA.MMRT
maternal_mortality_rate,Maternal Mortality Ratio,SH.STA.MMRT,2019,,https://api.worldbank.org/v2/country/KE/indicator/SH.STA.MMRT
maternal_mortality_rate,Maternal Mortality Ratio,SH.STA.MMRT,2020,,https://api.worldbank.org/v2/country/KE/indicator/SH.STA.MMRT
maternal_mortality_rate,Maternal Mortality Ratio,SH.STA.MMRT,2021,,https://api.worldbank.org/v2/country/KE/indicator/SH.STA.MMRT
maternal_mortality_rate,Maternal Mortality Ratio,SH.STA.MMRT,2022,,https://api.worldbank.org/v2/country/KE/indicator/SH.STA.MMRT
maternal_mortality_rate,Maternal Mortality Ratio,SH.STA.MMRT,2023,,https://api.worldbank.org/v2/country/KE/indicator/SH.STA.MMRT
maternal_mortality_rate,Maternal Mortality Ratio,SH.STA.MMRT,2024,,https://api.worldbank.org/v2/country/KE/indicator/SH.STA.MMRT
immunisation_coverage,DPT3 Immunisation Coverage,SH.IMM.IDPT,2013,,https://api.worldbank.org/v2/country/KE/indicator/SH.IMM.IDPT
immunisation_coverage,DPT3 Immunisation Coverage,SH.IMM.IDPT,2014,,https://api.worldbank.org/v2/country/KE/indicator/SH.IMM.IDPT
immunisation_coverage,DPT3 Immunisation Coverage,SH.IMM.IDPT,2015,,https://api.worldbank.org/v2/country/KE/indicator/SH.IMM.IDPT
immunisation_coverage,DPT3 Immunisation Coverage,SH.IMM.IDPT,2016,,https://api.worldbank.org/v2/country/KE/indicator/SH.IMM.IDPT
immunisation_coverage,DPT3 Immunisation Coverage,SH.IMM.IDPT,2017,,https://api.worldbank.org/v2/country/KE/indicator/SH.IMM.IDPT
immunisation_coverage,DPT3 Immunisation Coverage,SH.IMM.IDPT,2018,,https://api.worldbank.org/v2/country/KE/indicator/SH.IMM.IDPT
immunisation_coverage,DPT3 Immunisation Coverage,SH.IMM.IDPT,2019,,https://api.worldbank.org/v2/country/KE/indicator/SH.IMM.IDPT
immunisation_coverage,DPT3 Immunisation Coverage,SH.IMM.IDPT,2020,,https://api.worldbank.org/v2/country/KE/indicator/SH.IMM.IDPT
immunisation_coverage,DPT3 Immunisation Coverage,SH.IMM.IDPT,2021,,https://api.worldbank.org/v2/country/KE/indicator/SH.IMM.IDPT
immunisation_coverage,DPT3 Immunisation Coverage,SH.IMM.IDPT,2022,,https://api.worldbank.org/v2/country/KE/indicator/SH.IMM.IDPT
immunisation_coverage,DPT3 Immunisation Coverage,SH.IMM.IDPT,2023,,https://api.worldbank.org/v2/country/KE/indicator/SH.IMM.IDPT
immunisation_coverage,DPT3 Immunisation Coverage,SH.IMM.IDPT,2024,,https://api.worldbank.org/v2/country/KE/indicator/SH.IMM.IDPT
primary_enrollment_rate,Primary School Net Enrollment Rate,SE.PRM.NENR,2013,,https://api.worldbank.org/v2/country/KE/indicator/SE.PRM.NENR
primary_enrollment_rate,Primary School Net Enrollment Rate,SE.PRM.NENR,2014,,https://api.worldbank.org/v2/country/KE/indicator/SE.PRM.NENR
primary_enrollment_rate,Primary School Net Enrollment Rate,SE.PRM.NENR,2015,,https://api.worldbank.org/v2/country/KE/indicator/SE.PRM.NENR
primary_enrollment_rate,Primary School Net Enrollment Rate,SE.PRM.NENR,2016,,https://api.worldbank.org/v2/country/KE/indicator/SE.PRM.NENR
primary_enrollment_rate,Primary School Net Enrollment Rate,SE.PRM.NENR,2017,,https://api.worldbank.org/v2/country/KE/indicator/SE.PRM.NENR
primary_enrollment_rate,Primary School Net Enrollment Rate,SE.PRM.NENR,2018,,https://api.worldbank.org/v2/country/KE/indicator/SE.PRM.NENR
primary_enrollment_rate,Primary School Net Enrollment Rate,SE.PRM.NENR,2019,,https://api.worldbank.org/v2/country/KE/indicator/SE.PRM.NENR
primary_enrollment_rate,Primary School Net Enrollment Rate,SE.PRM.NENR,2020,,https://api.worldbank.org/v2/country/KE/indicator/SE.PRM.NENR
