fiscal_year,county_code,county_name,ind_skilled_birth_attendance_norm,ind_primary_completion_norm,ind_pupil_teacher_ratio_norm,ind_poverty_headcount_norm,service_delivery_score,components_available
2021/22,22,Kiambu,97.31051344743275,99.10485933503837,96.49122807017544,93.86331938633194,96.7,4
2022/23,22,Kiambu,,,,,,4
2023/24,22,Kiambu,,,,,,4
2013/14,23,Turkana,7.823960880195601,12.787723785166241,17.54385964912281,8.926080892608084,11.8,4
2014/15,23,Turkana,,,,,,4
2015/16,23,Turkana,,,,,,4
2016/17,23,Turkana,,,,,,4
2017/18,23,Turkana,,,,,,4
2018/19,23,Turkana,,,,,,4
2019/20,23,Turkana,,,,,,4
2020/21,23,Turkana,,,,,,4
2021/22,23,Turkana,16.014669926650367,21.994884910485936,29.82456140350878,19.107391910739196,21.7,4
2022/23,23,Turkana,,,,,,4
2023/24,23,Turkana,,,,,,4
2013/14,24,West Pokot,,,,,,4
2014/15,24,West Pokot,,,,,,4
2015/16,24,West Pokot,,,,,,4
2016/17,24,West Pokot,,,,,,4
2017/18,24,West Pokot,,,,,,4
2018/19,24,West Pokot,,,,,,4
2019/20,24,West Pokot,,,,,,4
2020/21,24,West Pokot,,,,,,4
2021/22,24,West Pokot,,,,,,4
2022/23,24,West Pokot,,,,,,4
2023/24,24,West Pokot,,,,,,4
2013/14,25,Samburu,,,,,,4
2014/15,25,Samburu,,,,,,4
2015/16,25,Samburu,,,,,,4
2016/17,25,Samburu,,,,,,4
2017/18,25,Samburu,,,,,,4
2018/19,25,Samburu,,,,,,4
2019/20,25,Samburu,,,,,,4
2020/21,25,Samburu,,,,,,4
2021/22,25,Samburu,,,,,,4
2022/23,25,Samburu,,,,,,4
2023/24,25,Samburu,,,,,,4
2013/14,26,Trans-Nzoia,,,,,,4
2014/15,26,Trans-Nzoia,,,,,,4
2015/16,26,Trans-Nzoia,,,,,,4
2016/17,26,Trans-Nzoia,,,,,,4
2017/18,26,Trans-Nzoia,,,,,,4
2018/19,26,Trans-Nzoia,,,,,,4
2019/20,26,Trans-Nzoia,,,,,,4
2020/21,26,Trans-Nzoia,,,,,,4
2021/22,26,Trans-Nzoia,,,,,,4
2022/23,26,Trans-Nzoia,,,,,,4
2023/24,26,Trans-Nzoia,,,,,,4
2013/14,27,Uasin Gishu,,,,,,4
2014/15,27,Uasin Gishu,,,,,,4
2015/16,27,Uasin Gishu,,,,,,4
2016/17,27,Uasin Gishu,,,,,,4
2017/18,27,Uasin Gishu,,,,,,4
2018/19,27,Uasin Gishu,,,,,,4
2019/20,27,Uasin Gishu,,,,,,4
2020/21,27,Uasin Gishu,,,,,,4
2021/22,27,Uasin Gishu,,,,,,4
2022/23,27,Uasin Gishu,,,,,,4
2023/24,27,Uasin Gishu,,,,,,4
2013/14,28,Elgeyo-Marakwet,,,,,,4
2014/15,28,Elgeyo-Marakwet,,,,,,4
2015/16,28,Elgeyo-Marakwet,,,,,,4
2016/17,28,Elgeyo-Marakwet,,,,,,4
2017/18,28,Elgeyo-Marakwet,,,,,,4
2018/19,28,Elgeyo-Marakwet,,,,,,4
2019/20,28,Elgeyo-Marakwet,,,,,,4
2020/21,28,Elgeyo-Marakwet,,,,,,4
2021/22,28,Elgeyo-Marakwet,,,,,,4
2022/23,28,Elgeyo-Marakwet,,,,,,4
2023/24,28,Elgeyo-Marakwet,,,,,,4
2013/14,29,Nandi,,,,,,4
2014/15,29,Nandi,,,,,,4
2015/16,29,Nandi,,,,,,4
2016/17,29,Nandi,,,,,,4
2017/18,29,Nandi,,,,,,4
2018/19,29,Nandi,,,,,,4
2019/20,29,Nandi,,,,,,4
2020/21,29,Nandi,,,,,,4
2021/22,29,Nandi,,,,,,4
